Epoch,MSE,Classification_Error
1,0.5127558152197053,0.3357142857142857
2,0.30823747871363066,0.06428571428571428
3,0.2735110811224967,0.05
4,0.26654453456894134,0.04285714285714286
5,0.26511019729554836,0.04285714285714286
6,0.26481079019507076,0.04285714285714286
7,0.2647466126617122,0.04285714285714286
8,0.26473210398975777,0.04285714285714286
9,0.2647284992369015,0.04285714285714286
10,0.26472747124026536,0.04285714285714286
11,0.2647271290418013,0.04285714285714286
12,0.2647269993147382,0.04285714285714286
13,0.2647269457667691,0.04285714285714286
14,0.26472692260449854,0.04285714285714286
15,0.2647269123499354,0.04285714285714286
16,0.264726907759942,0.04285714285714286
17,0.26472690569507284,0.04285714285714286
18,0.2647269047640415,0.04285714285714286
19,0.26472690434381546,0.04285714285714286
20,0.2647269041540566,0.04285714285714286
21,0.26472690406835053,0.04285714285714286
22,0.26472690402963733,0.04285714285714286
23,0.26472690401214977,0.04285714285714286
24,0.26472690400425025,0.04285714285714286
25,0.26472690400068166,0.04285714285714286
26,0.2647269039990698,0.04285714285714286
27,0.26472690399834153,0.04285714285714286
28,0.2647269039980126,0.04285714285714286
29,0.26472690399786397,0.04285714285714286
30,0.26472690399779686,0.04285714285714286
31,0.2647269039977666,0.04285714285714286
32,0.2647269039977529,0.04285714285714286
33,0.26472690399774673,0.04285714285714286
34,0.2647269039977439,0.04285714285714286
35,0.26472690399774257,0.04285714285714286
36,0.26472690399774196,0.04285714285714286
37,0.26472690399774174,0.04285714285714286
38,0.2647269039977417,0.04285714285714286
39,0.2647269039977417,0.04285714285714286
40,0.26472690399774157,0.04285714285714286
41,0.2647269039977416,0.04285714285714286
42,0.26472690399774157,0.04285714285714286
43,0.26472690399774157,0.04285714285714286
44,0.26472690399774157,0.04285714285714286
45,0.26472690399774157,0.04285714285714286
46,0.26472690399774157,0.04285714285714286
47,0.26472690399774157,0.04285714285714286
48,0.26472690399774157,0.04285714285714286
49,0.26472690399774157,0.04285714285714286
50,0.26472690399774157,0.04285714285714286
51,0.26472690399774157,0.04285714285714286
52,0.26472690399774157,0.04285714285714286
53,0.26472690399774157,0.04285714285714286
54,0.26472690399774157,0.04285714285714286
55,0.26472690399774157,0.04285714285714286
56,0.26472690399774157,0.04285714285714286
57,0.26472690399774157,0.04285714285714286
58,0.26472690399774157,0.04285714285714286
59,0.26472690399774157,0.04285714285714286
60,0.26472690399774157,0.04285714285714286
61,0.26472690399774157,0.04285714285714286
62,0.26472690399774157,0.04285714285714286
63,0.26472690399774157,0.04285714285714286
64,0.26472690399774157,0.04285714285714286
65,0.26472690399774157,0.04285714285714286
66,0.26472690399774157,0.04285714285714286
67,0.26472690399774157,0.04285714285714286
68,0.26472690399774157,0.04285714285714286
69,0.26472690399774157,0.04285714285714286
70,0.26472690399774157,0.04285714285714286
71,0.26472690399774157,0.04285714285714286
72,0.26472690399774157,0.04285714285714286
73,0.26472690399774157,0.04285714285714286
74,0.26472690399774157,0.04285714285714286
75,0.26472690399774157,0.04285714285714286
76,0.26472690399774157,0.04285714285714286
77,0.26472690399774157,0.04285714285714286
78,0.26472690399774157,0.04285714285714286
79,0.26472690399774157,0.04285714285714286
80,0.26472690399774157,0.04285714285714286
81,0.26472690399774157,0.04285714285714286
82,0.26472690399774157,0.04285714285714286
83,0.26472690399774157,0.04285714285714286
84,0.26472690399774157,0.04285714285714286
85,0.26472690399774157,0.04285714285714286
86,0.26472690399774157,0.04285714285714286
87,0.26472690399774157,0.04285714285714286
88,0.26472690399774157,0.04285714285714286
89,0.26472690399774157,0.04285714285714286
90,0.26472690399774157,0.04285714285714286
91,0.26472690399774157,0.04285714285714286
92,0.26472690399774157,0.04285714285714286
93,0.26472690399774157,0.04285714285714286
94,0.26472690399774157,0.04285714285714286
95,0.26472690399774157,0.04285714285714286
96,0.26472690399774157,0.04285714285714286
97,0.26472690399774157,0.04285714285714286
98,0.26472690399774157,0.04285714285714286
99,0.26472690399774157,0.04285714285714286
100,0.26472690399774157,0.04285714285714286
