Epoch,MSE,Classification_Error
1,2.8398317804885314,0.5428571428571428
2,2.7899579348266665,0.5428571428571428
3,2.741154091765587,0.5428571428571428
4,2.6933958196971544,0.5357142857142857
5,2.646659263937592,0.5357142857142857
6,2.6009211328686277,0.5285714285714286
7,2.5561586844144295,0.5285714285714286
8,2.512349712846176,0.5285714285714286
9,2.4694725359062843,0.5285714285714286
10,2.427505982244514,0.5285714285714286
11,2.3864293791583635,0.5214285714285715
12,2.346222540630343,0.5214285714285715
13,2.3068657556549277,0.5214285714285715
14,2.268339776848102,0.5214285714285715
15,2.230625809332662,0.5214285714285715
16,2.1937054998925354,0.5214285714285715
17,2.1575609263896034,0.5214285714285715
18,2.1221745874366102,0.5214285714285715
19,2.08752939231996,0.5214285714285715
20,2.0536086511663014,0.5214285714285715
21,2.0203960653469886,0.5214285714285715
22,1.9878757181146194,0.5214285714285715
23,1.9560320654660257,0.5214285714285715
24,1.924849927226189,0.5214285714285715
25,1.8943144783477257,0.5214285714285715
26,1.864411240420701,0.5214285714285715
27,1.8351260733876489,0.5142857142857142
28,1.8064451674588196,0.5142857142857142
29,1.778355035222785,0.5071428571428571
30,1.7508425039476545,0.5
31,1.7238947080682698,0.5
32,1.6974990818548583,0.5
33,1.6716433522587395,0.5
34,1.6463155319307776,0.4928571428571429
35,1.6215039124083888,0.4928571428571429
36,1.597197057467008,0.4928571428571429
37,1.573383796632018,0.4857142857142857
38,1.5500532188472445,0.4857142857142857
39,1.527194666296219,0.4857142857142857
40,1.5047977283724927,0.4785714285714286
41,1.4828522357953904,0.4785714285714286
42,1.4613482548676655,0.4785714285714286
43,1.440276081871617,0.4785714285714286
44,1.4196262376003035,0.4714285714285714
45,1.3993894620205796,0.4714285714285714
46,1.3795567090647498,0.4714285714285714
47,1.3601191415477234,0.4714285714285714
48,1.3410681262066184,0.4642857142857143
49,1.322395228859856,0.4642857142857143
50,1.3040922096828305,0.4642857142857143
51,1.2861510185973397,0.4642857142857143
52,1.2685637907720075,0.4642857142857143
53,1.2513228422310152,0.4642857142857143
54,1.2344206655685026,0.4642857142857143
55,1.217849925766092,0.4642857142857143
56,1.2016034561110214,0.45
57,1.185674254212453,0.44285714285714284
58,1.1700554781135772,0.44285714285714284
59,1.1547404424971917,0.4357142857142857
60,1.139722614982481,0.42857142857142855
61,1.1249956125108034,0.42857142857142855
62,1.1105531978183072,0.4142857142857143
63,1.0963892759932905,0.40714285714285714
64,1.0824978911162406,0.4
65,1.0688732229805562,0.4
66,1.0555095838919917,0.39285714285714285
67,1.0424014155449264,0.39285714285714285
68,1.0295432859735854,0.39285714285714285
69,1.016929886576413,0.39285714285714285
70,1.0045560292118116,0.39285714285714285
71,0.9924166433635313,0.39285714285714285
72,0.9805067733740144,0.37857142857142856
73,0.9688215757440598,0.37857142857142856
74,0.9573563164971928,0.37857142857142856
75,0.9461063686071827,0.35
76,0.935067209487173,0.35
77,0.9242344185389425,0.32857142857142857
78,0.9136036747608339,0.32142857142857145
79,0.9031707544129374,0.30714285714285716
80,0.8929315287381426,0.3
81,0.8828819617377072,0.3
82,0.8730181080000256,0.3
83,0.8633361105813131,0.2785714285714286
84,0.8538321989369448,0.2785714285714286
85,0.8445026869022342,0.2714285714285714
86,0.8353439707214502,0.2642857142857143
87,0.8263525271239084,0.25
88,0.8175249114460021,0.2357142857142857
89,0.8088577557980603,0.22857142857142856
90,0.8003477672749535,0.22857142857142856
91,0.791991726209387,0.21428571428571427
92,0.7837864844668565,0.20714285714285716
93,0.7757289637812542,0.2
94,0.7678161541301503,0.19285714285714287
95,0.7600451121487874,0.17857142857142858
96,0.7524129595818592,0.17142857142857143
97,0.7449168817721552,0.16428571428571428
98,0.7375541261851908,0.15714285714285714
99,0.7303220009689454,0.15
100,0.7232178735478716,0.1357142857142857
