Epoch,MSE,Classification_Error
1,5.063612038308245,0.5034013605442177
2,4.935375714324726,0.5034013605442177
3,4.810994781616181,0.5034013605442177
4,4.690344097064332,0.4897959183673469
5,4.57330278091961,0.4897959183673469
6,4.459754067436887,0.4897959183673469
7,4.349585160825453,0.4897959183673469
8,4.242687096322573,0.4897959183673469
9,4.138954606206859,0.4897959183673469
10,4.0382859905742565,0.4897959183673469
11,3.9405829927058944,0.4897959183673469
12,3.8457506788631526,0.4897959183673469
13,3.7536973223512433,0.4897959183673469
14,3.664334291698345,0.4897959183673469
15,3.577575942802788,0.48299319727891155
16,3.4933395149061672,0.48299319727891155
17,3.4115450302553056,0.48299319727891155
18,3.3321151973209795,0.48299319727891155
19,3.254975317446055,0.48299319727891155
20,3.1800531948002777,0.48299319727891155
21,3.1072790495233313,0.46938775510204084
22,3.036585433942138,0.47619047619047616
23,2.9679071517523608,0.47619047619047616
24,2.9011811800581206,0.46258503401360546
25,2.836346594167706,0.46258503401360546
26,2.773344495046742,0.4557823129251701
27,2.712117939333834,0.4557823129251701
28,2.652611871827108,0.4557823129251701
29,2.5947730603533805,0.4557823129251701
30,2.538550032934839,0.4557823129251701
31,2.4838930171711997,0.4557823129251701
32,2.4307538817582395,0.4489795918367347
33,2.379086080066454,0.4421768707482993
34,2.3288445957063266,0.4421768707482993
35,2.2799858900093417,0.4421768707482993
36,2.2324678513564082,0.4421768707482993
37,2.186249746287836,0.4421768707482993
38,2.141292172331351,0.43537414965986393
39,2.0975570124869276,0.43537414965986393
40,2.0550073913094185,0.43537414965986393
41,2.0136076325320635,0.42857142857142855
42,1.9733232181760298,0.42857142857142855
43,1.9341207490930725,0.42857142857142855
44,1.8959679068903295,0.41496598639455784
45,1.8588334171880863,0.41496598639455784
46,1.8226870141630918,0.40816326530612246
47,1.787499406331742,0.40816326530612246
48,1.753242243529051,0.4013605442176871
49,1.7198880850409393,0.3945578231292517
50,1.687410368848864,0.3877551020408163
51,1.6557833819473073,0.38095238095238093
52,1.624982231696045,0.38095238095238093
53,1.5949828181704766,0.38095238095238093
54,1.5657618074746193,0.38095238095238093
55,1.53729660598264,0.3741496598639456
56,1.5095653354760092,0.3741496598639456
57,1.482546809144554,0.3741496598639456
58,1.456220508420808,0.36054421768707484
59,1.4305665606181623,0.3673469387755102
60,1.405565717344374,0.3673469387755102
61,1.3811993336630004,0.3673469387755102
62,1.3574493479763148,0.3673469387755102
63,1.3342982626042093,0.3673469387755102
64,1.3117291250344818,0.3673469387755102
65,1.289725509820812,0.3673469387755102
66,1.268271501105551,0.36054421768707484
67,1.2473516757452874,0.35374149659863946
68,1.2269510870179219,0.35374149659863946
69,1.2070552488907595,0.35374149659863946
70,1.1876501208298427,0.35374149659863946
71,1.1687220931314677,0.35374149659863946
72,1.1502579727575013,0.35374149659863946
73,1.1322449696567674,0.35374149659863946
74,1.1146706835554103,0.35374149659863946
75,1.0975230911997524,0.35374149659863946
76,1.0807905340357424,0.3469387755102041
77,1.0644617063096673,0.3401360544217687
78,1.0485256435753383,0.3333333333333333
79,1.0329717115934995,0.3197278911564626
80,1.0177895956096965,0.3197278911564626
81,1.0029692899973541,0.3197278911564626
82,0.9885010882532661,0.3197278911564626
83,0.9743755733331633,0.3129251700680272
84,0.9605836083154665,0.3129251700680272
85,0.947116327381746,0.30612244897959184
86,0.9339651271028242,0.30612244897959184
87,0.9211216580198475,0.30612244897959184
88,0.9085778165100352,0.29931972789115646
89,0.8963257369271728,0.2925170068027211
90,0.8843577840072788,0.2925170068027211
91,0.8726665455302047,0.2925170068027211
92,0.861244825228259,0.2789115646258503
93,0.8500856359332651,0.2789115646258503
94,0.8391821929537623,0.272108843537415
95,0.8285279076743529,0.2653061224489796
96,0.8181163813694886,0.25170068027210885
97,0.807941399224252,0.25170068027210885
98,0.7979969245549597,0.25170068027210885
99,0.7882770932226648,0.24489795918367346
100,0.7787762082328823,0.24489795918367346
